origin,target_date,horizon,lead_days,forecast,p10,p90,actual,is_cny,is_jan
2026-03-25,2026-03-29,4,4,6911.579497332349,6693.414844325148,7132.21728034096,7101.0,False,False
2026-03-25,2026-03-30,5,5,6610.185907157649,6363.167357770927,6837.636095197385,6459.0,False,False
2026-03-25,2026-03-31,6,6,6762.225512151011,6510.220858383148,6999.356023508481,6022.0,False,False
2026-03-25,2026-04-01,7,7,6575.132755012592,6325.065288442344,6813.953188303275,6286.0,False,False
2026-04-01,2026-04-02,1,1,6249.012249088375,5988.436009520419,6487.022716723854,6375.0,False,False
2026-04-01,2026-04-03,2,2,6623.208923020947,6404.3309617356945,6839.478544457452,6704.0,False,False
2026-04-01,2026-04-04,3,3,7552.543783816418,7336.7817956619565,7772.0016004276695,6754.0,False,False
2026-04-01,2026-04-05,4,4,7048.966621973881,6836.214775810165,7265.001061632201,7075.0,False,False
2026-04-01,2026-04-06,5,5,6155.05950199109,5917.578909807919,6365.739704021992,6349.0,False,False
2026-04-01,2026-04-07,6,6,6141.1633342335945,5903.15401679925,6373.780150393777,6310.0,False,False
2026-04-01,2026-04-08,7,7,6769.778344438578,6530.284177745591,7004.158777554706,6629.0,False,False
2026-04-08,2026-04-09,1,1,6620.9667555942315,6368.539639890616,6856.995912224656,6709.0,False,False
2026-04-08,2026-04-10,2,2,6701.968492292556,6485.2449182726305,6927.228885534558,7046.0,False,False
2026-04-08,2026-04-11,3,3,7371.380113581624,7150.034503032676,7591.655570730654,7719.0,False,False
2026-04-08,2026-04-12,4,4,6857.078063283002,6623.946488157541,7077.903306711439,7188.0,False,False
2026-04-08,2026-04-13,5,5,6637.818469025571,6381.156860137366,6851.145184319723,6645.0,False,False
2026-04-08,2026-04-14,6,6,6741.32073316744,6494.160423188167,6968.3722963077635,7135.0,False,False
2026-04-08,2026-04-15,7,7,6855.038605328092,6595.930208404846,7099.827183591393,7167.0,False,False
2026-04-15,2026-04-16,1,1,7262.070076005056,7021.122981372713,7488.533576583237,7122.0,False,False
2026-04-15,2026-04-17,2,2,7297.14078459369,7070.722119462471,7509.461535113796,7299.0,False,False
2026-04-15,2026-04-18,3,3,7933.434321208898,7715.539301832063,8148.150571572185,7958.0,False,False
2026-04-15,2026-04-19,4,4,7437.0822988541,7223.624485974836,7654.388580234494,7374.0,False,False
2026-04-15,2026-04-20,5,5,6555.127809417753,6305.237982567747,6779.044688099684,6813.0,False,False
2026-04-15,2026-04-21,6,6,6456.3043963045175,6225.9632229303315,6693.286128771382,7027.0,False,False
2026-04-15,2026-04-22,7,7,6537.401601664999,6298.9617424781045,6775.443065732006,7141.0,False,False
2026-04-22,2026-04-23,1,1,6989.1743789535985,6740.936267802891,7216.113637569107,7310.0,False,False
2026-04-22,2026-04-24,2,2,7195.905802273311,6975.929063116404,7420.555951061588,7058.0,False,False
2026-04-22,2026-04-25,3,3,7595.566014248976,7380.303115008847,7809.72558684477,7699.0,False,False
2026-04-22,2026-04-26,4,4,7003.175350833606,6784.824527300003,7213.178610464598,6881.0,False,False
2026-04-22,2026-04-27,5,5,6396.583166605758,6164.678949034468,6609.349427021256,6179.0,False,False
2026-04-22,2026-04-28,6,6,6535.043449250095,6287.759827050484,6763.945003047622,6576.0,False,False
2026-04-22,2026-04-29,7,7,6556.119558716532,6292.88847825502,6795.244272021358,6408.0,False,False
2026-04-29,2026-04-30,1,1,6842.554157298399,6595.834970414553,7068.3486849514675,7108.0,False,False
2026-04-29,2026-05-01,2,2,7862.452339722685,7639.1431488369,8089.416835614847,8653.0,False,False
2026-04-29,2026-05-02,3,3,7802.120892714789,7582.336671451825,8026.866006807183,8249.0,False,False
2026-04-29,2026-05-03,4,4,7501.487070732391,7293.833540521174,7724.65081822898,7780.0,False,False
2026-04-29,2026-05-04,5,5,6749.558401101893,6501.004272102193,6971.208091024547,7153.0,False,False
2026-04-29,2026-05-05,6,6,6680.876192286029,6422.869325817661,6927.150426403118,6694.0,False,False
2026-04-29,2026-05-06,7,7,6527.355628001325,6269.8795112088565,6765.586402848645,6063.0,False,False
2026-05-06,2026-05-07,1,1,6574.000248884354,6315.013974701888,6808.495229080012,6236.0,False,False
2026-05-06,2026-05-08,2,2,6785.884507954535,6558.727308082808,7012.795976831384,6738.0,False,False
2026-05-06,2026-05-09,3,3,7167.405964039232,6935.7742502727415,7383.561741177691,7120.0,False,False
2026-05-06,2026-05-10,4,4,7237.743170439936,7021.5220283974595,7455.093751127787,6714.0,False,False
2026-05-06,2026-05-11,5,5,6719.875889149356,6482.9481083637165,6941.217852293341,6780.0,False,False
2026-05-06,2026-05-12,6,6,6627.683145096211,6390.193181817618,6871.651405386451,6903.0,False,False
2026-05-06,2026-05-13,7,7,6889.922420492898,6624.273052648856,7134.817637921497,6671.0,False,False
2026-05-13,2026-05-14,1,1,6999.175026618622,6739.28869654582,7226.964826395226,6955.0,False,False
2026-05-13,2026-05-15,2,2,7252.102118982814,7023.726387244234,7471.1545863206875,6995.0,False,False
2026-05-13,2026-05-16,3,3,7815.2027602134895,7594.024924454409,8040.5865522828535,7815.0,False,False
2026-05-13,2026-05-17,4,4,7310.311329384981,7073.203382572392,7543.789616835605,7158.0,False,False
2026-05-13,2026-05-18,5,5,6706.6396079637225,6465.630454696387,6920.524324010172,6839.0,False,False
2026-05-13,2026-05-19,6,6,6737.181477531518,6483.713272404615,6974.266549591839,6924.0,False,False
2026-05-13,2026-05-20,7,7,6824.542363829111,6554.789608759895,7074.862378876421,6769.0,False,False
2026-05-20,2026-05-21,1,1,6995.0662710701545,6740.9121463184365,7226.961395358677,6588.0,False,False
2026-05-20,2026-05-22,2,2,7151.2108610442665,6920.456499758043,7377.197882703442,6874.0,False,False
2026-05-20,2026-05-23,3,3,7841.661830962442,7610.410999261648,8075.946097434676,7710.0,False,False
2026-05-20,2026-05-24,4,4,7139.890692626177,6908.898571781555,7367.911970432771,7045.0,False,False
2026-05-20,2026-05-25,5,5,6715.227412813734,6489.7631477880395,6931.488500602977,6625.0,False,False
2026-05-20,2026-05-26,6,6,6811.070815336534,6569.065837713325,7048.349239988573,6877.0,False,False
2026-05-20,2026-05-27,7,7,6754.934066386359,6478.0552693845775,7004.869813657339,7120.0,False,False
2026-05-27,2026-05-28,1,1,6846.749495500628,6586.873822298757,7081.649608912755,6993.0,False,False
