origin,target,horizon,pred,actual,variant
2019-02-13,2019-02-18,5,4647.557273162908,5033.0,informed
2019-02-13,2019-02-19,6,4316.287460905761,4811.0,informed
2019-02-13,2019-02-20,7,4777.123606344478,4795.0,informed
2019-02-20,2019-02-21,1,4852.246970848479,5021.0,informed
2019-02-20,2019-02-22,2,5067.918008998034,5730.0,informed
2019-02-20,2019-02-23,3,5194.844968128006,5844.0,informed
2019-02-20,2019-02-24,4,4801.445457950935,5285.0,informed
2019-02-20,2019-02-25,5,4624.388696688118,4747.0,informed
2019-02-20,2019-02-26,6,4587.3565098227755,5199.0,informed
2019-02-20,2019-02-27,7,4707.794766647557,5540.0,informed
2019-02-27,2019-02-28,1,5103.487312073128,5338.0,informed
2019-02-27,2019-03-01,2,5018.283271696525,5542.0,informed
2019-02-27,2019-03-02,3,5323.70943852977,6047.0,informed
2019-02-27,2019-03-03,4,4985.612502375229,5692.0,informed
2019-02-27,2019-03-04,5,4628.687197711697,5337.0,informed
2019-02-27,2019-03-05,6,4800.336998250884,5097.0,informed
2019-02-27,2019-03-06,7,5067.093740659591,5380.0,informed
2019-03-27,2019-03-28,1,5164.713728912825,5492.0,informed
2019-03-27,2019-03-29,2,5432.782737372056,5223.0,informed
2019-03-27,2019-03-30,3,5505.674970860678,6480.0,informed
2019-03-27,2019-03-31,4,5315.139004280784,5445.0,informed
2019-03-27,2019-04-01,5,5013.587863928475,4692.0,informed
2019-03-27,2019-04-02,6,5278.789004466134,4895.0,informed
2019-03-27,2019-04-03,7,5077.276361239086,4771.0,informed
2019-04-03,2019-04-04,1,5090.43476877522,4949.0,informed
2019-04-03,2019-04-05,2,5554.480700659954,5809.0,informed
2019-04-03,2019-04-06,3,5757.228816757704,6036.0,informed
2019-04-03,2019-04-07,4,5213.5172771583275,5404.0,informed
2019-04-03,2019-04-08,5,4679.597011698157,4647.0,informed
2019-04-03,2019-04-09,6,4899.807319188106,4956.0,informed
2019-04-03,2019-04-10,7,4972.214048777967,5332.0,informed
2019-04-10,2019-04-11,1,5326.5973417793475,5285.0,informed
2019-04-10,2019-04-12,2,5559.139322525186,5382.0,informed
2019-04-10,2019-04-13,3,6137.152022989896,6572.0,informed
2019-04-10,2019-04-14,4,5445.274208258145,5449.0,informed
2019-04-10,2019-04-15,5,4772.976404948826,5042.0,informed
2019-04-10,2019-04-16,6,5000.875828760788,5320.0,informed
2019-04-10,2019-04-17,7,5149.552289264493,5213.0,informed
2019-05-01,2019-05-02,1,5603.633749599405,7218.0,informed
2019-05-01,2019-05-03,2,6012.099596420245,6783.0,informed
2019-05-01,2019-05-04,3,5756.43420323124,5607.0,informed
2019-05-01,2019-05-05,4,5452.27484706123,4868.0,informed
2019-05-01,2019-05-06,5,4947.737011371289,5135.0,informed
2019-05-01,2019-05-07,6,5188.869300370142,5562.0,informed
2019-05-01,2019-05-08,7,5321.685187610223,5770.0,informed
2019-05-08,2019-05-09,1,5376.405419456497,5821.0,informed
2019-05-08,2019-05-10,2,5293.870304952431,5872.0,informed
2019-05-08,2019-05-11,3,5973.165828969576,6201.0,informed
2019-05-08,2019-05-12,4,5699.286459879358,5431.0,informed
2019-05-08,2019-05-13,5,5134.223757643907,5040.0,informed
2019-05-08,2019-05-14,6,5242.756107026694,5010.0,informed
2019-05-08,2019-05-15,7,5336.797961314017,5368.0,informed
2019-06-12,2019-06-13,1,5884.2378309676915,6378.0,informed
2019-06-12,2019-06-14,2,5806.796030157394,6418.0,informed
2019-06-12,2019-06-15,3,6781.925467630109,6702.0,informed
2019-06-12,2019-06-16,4,6441.116778261429,6368.0,informed
2019-06-12,2019-06-17,5,5900.5208820165935,5737.0,informed
2019-06-12,2019-06-18,6,5882.839964818868,6390.0,informed
2019-06-12,2019-06-19,7,5847.5084718154985,6015.0,informed
2019-06-15,2019-06-16,1,6281.142764126285,6368.0,informed
2019-06-15,2019-06-17,2,5968.150931077901,5737.0,informed
2019-06-15,2019-06-18,3,5907.11755844364,6390.0,informed
2019-06-15,2019-06-19,4,5951.243066915339,6015.0,informed
2019-06-15,2019-06-20,5,5985.166732974335,6220.0,informed
2019-06-15,2019-06-21,6,6042.780039825632,6774.0,informed
2019-06-15,2019-06-22,7,6698.100069556113,7179.0,informed
2019-06-19,2019-06-20,1,6135.172397895511,6220.0,informed
2019-06-19,2019-06-21,2,6237.105575916045,6774.0,informed
2019-06-19,2019-06-22,3,6740.480726892316,7179.0,informed
2019-06-19,2019-06-23,4,6032.483305532284,6443.0,informed
2019-06-19,2019-06-24,5,5720.005065702562,5856.0,informed
2019-06-19,2019-06-25,6,5843.162404000485,5918.0,informed
2019-06-19,2019-06-26,7,5652.326770883799,6066.0,informed
2019-07-13,2019-07-14,1,6725.017313562583,6724.0,informed
2019-07-13,2019-07-15,2,6082.983260423921,6551.0,informed
2019-07-13,2019-07-16,3,6208.53832327096,6638.0,informed
2019-07-13,2019-07-17,4,5989.283918401047,6172.0,informed
2019-07-13,2019-07-18,5,5914.634619206545,6080.0,informed
2019-07-13,2019-07-19,6,6360.700359613629,6810.0,informed
2019-07-13,2019-07-20,7,7142.851577911429,7010.0,informed
2019-09-18,2019-09-19,1,6407.672950176558,6462.0,informed
2019-09-18,2019-09-20,2,6745.142266687797,6565.0,informed
2019-09-18,2019-09-21,3,6926.14905583967,6986.0,informed
2019-09-18,2019-09-22,4,6074.153725906434,6459.0,informed
2019-09-18,2019-09-23,5,5808.819643231102,5777.0,informed
2019-09-18,2019-09-24,6,5681.037555997019,6439.0,informed
2019-09-18,2019-09-25,7,5451.187005632732,6874.0,informed
2019-09-25,2019-09-26,1,5861.828186595478,6482.0,informed
2019-09-25,2019-09-27,2,5995.764412616864,6580.0,informed
2019-09-25,2019-09-28,3,6000.267173309583,7204.0,informed
2019-09-25,2019-09-29,4,5849.715788649346,6735.0,informed
2019-09-25,2019-09-30,5,5552.259780684084,6700.0,informed
2019-09-25,2019-10-01,6,6290.570878498133,7398.0,informed
2019-09-25,2019-10-02,7,6826.883651821165,8769.0,informed
2019-10-02,2019-10-03,1,7658.460224838834,8569.0,informed
2019-10-02,2019-10-04,2,7223.509577482559,8785.0,informed
2019-10-02,2019-10-05,3,7711.457695208589,7434.0,informed
2019-10-02,2019-10-06,4,6337.454772410618,6622.0,informed
2019-10-02,2019-10-07,5,6204.791187968456,5599.0,informed
2019-10-02,2019-10-08,6,6196.111672197817,4962.0,informed
2019-10-02,2019-10-09,7,6173.079828487572,5288.0,informed
2019-10-09,2019-10-10,1,5515.796148029902,6003.0,informed
2019-10-09,2019-10-11,2,5369.49662759817,6234.0,informed
2019-10-09,2019-10-12,3,5772.049735353352,6653.0,informed
2019-10-09,2019-10-13,4,6199.98617338065,6270.0,informed
2019-10-09,2019-10-14,5,5425.251297999552,5705.0,informed
2019-10-09,2019-10-15,6,6144.513473250973,5905.0,informed
2019-10-09,2019-10-16,7,6336.476601199349,6169.0,informed
2019-12-18,2019-12-19,1,5484.037564189428,4862.0,informed
2019-12-18,2019-12-20,2,6322.958282625514,5481.0,informed
2019-12-18,2019-12-21,3,6759.31112207436,6595.0,informed
2019-12-18,2019-12-22,4,6129.760136120113,5851.0,informed
2019-12-18,2019-12-23,5,5739.757243495032,6304.0,informed
2019-12-18,2019-12-24,6,5834.989961644257,6565.0,informed
2019-12-18,2019-12-25,7,6074.360030263707,7021.0,informed
2019-12-25,2019-12-26,1,6609.192401483792,7157.0,informed
2019-12-25,2019-12-27,2,6587.4180851545825,7511.0,informed
2019-12-25,2019-12-28,3,6688.807726054157,8152.0,informed
2019-12-25,2019-12-29,4,6329.8472175491725,6848.0,informed
2019-12-25,2019-12-30,5,6191.502661077831,6125.0,informed
2019-12-25,2019-12-31,6,6004.95006336732,6552.0,informed
2019-12-25,2020-01-01,7,5907.239224922085,6810.0,informed
2020-01-01,2020-01-02,1,6369.872103167524,6162.0,informed
2020-01-01,2020-01-03,2,6410.734554564006,7125.0,informed
2020-01-01,2020-01-04,3,6875.7224521498165,7637.0,informed
2020-01-01,2020-01-05,4,6317.462376773428,7178.0,informed
2020-01-01,2020-01-06,5,5843.63322165105,6930.0,informed
2020-01-01,2020-01-07,6,6125.586653472096,7129.0,informed
2020-01-01,2020-01-08,7,6322.732707098981,6942.0,informed
2024-01-03,2024-01-04,1,5470.1623309678,5586.0,informed
2024-01-03,2024-01-05,2,6185.858230536481,5851.0,informed
2024-01-03,2024-01-06,3,6092.637593399805,6542.0,informed
2024-01-03,2024-01-07,4,5348.355948988978,6273.0,informed
2024-01-03,2024-01-08,5,5216.327513237113,5906.0,informed
2024-01-03,2024-01-09,6,5778.1998013845505,5969.0,informed
2024-01-03,2024-01-10,7,5522.044874121199,5838.0,informed
2024-01-10,2024-01-11,1,5797.959304123152,5884.0,informed
2024-01-10,2024-01-12,2,5917.985250682797,6042.0,informed
2024-01-10,2024-01-13,3,6688.44009554949,6746.0,informed
2024-01-10,2024-01-14,4,6177.812362585821,5703.0,informed
2024-01-10,2024-01-15,5,5448.437705473366,5604.0,informed
2024-01-10,2024-01-16,6,4971.937552091086,5976.0,informed
2024-01-10,2024-01-17,7,5071.682533432909,5756.0,informed
2024-01-17,2024-01-18,1,5894.204119668491,5748.0,informed
2024-01-17,2024-01-19,2,6013.661247805334,5839.0,informed
2024-01-17,2024-01-20,3,6599.441116393625,6679.0,informed
2024-01-17,2024-01-21,4,6277.091180505144,6394.0,informed
2024-01-17,2024-01-22,5,5827.381311153442,5438.0,informed
2024-01-17,2024-01-23,6,5823.022926666178,5509.0,informed
2024-01-17,2024-01-24,7,6109.150817221455,5688.0,informed
2024-01-24,2024-01-25,1,5714.491713085922,5731.0,informed
2024-01-24,2024-01-26,2,5611.849441016003,6154.0,informed
2024-01-24,2024-01-27,3,6704.920283161507,6273.0,informed
2024-01-24,2024-01-28,4,6087.0603222438385,5441.0,informed
2024-01-24,2024-01-29,5,5764.864921049967,5125.0,informed
2024-01-24,2024-01-30,6,5572.579135732481,4696.0,informed
2024-01-24,2024-01-31,7,5002.382457116373,4742.0,informed
2024-01-31,2024-02-01,1,5108.201686891099,4570.0,informed
2024-01-31,2024-02-02,2,5746.7548108754745,5180.0,informed
2024-01-31,2024-02-03,3,8069.166664540697,5360.0,informed
2024-01-31,2024-02-04,4,7689.144143406855,5111.0,informed
2024-01-31,2024-02-05,5,5484.5534080362995,4619.0,informed
2024-01-31,2024-02-06,6,5895.602965453648,4089.0,informed
2024-01-31,2024-02-07,7,5560.051184080925,3454.0,informed
2024-02-07,2024-02-08,1,4802.045895820503,3173.0,informed
2024-02-07,2024-02-09,2,4636.258192069933,2684.0,informed
2024-02-07,2024-02-10,3,8062.453545011548,4041.0,informed
2024-02-07,2024-02-11,4,11813.807299020662,5238.0,informed
2024-02-07,2024-02-12,5,11636.281588543041,6601.0,informed
2024-02-07,2024-02-13,6,13609.530838555043,7221.0,informed
2024-02-07,2024-02-14,7,12330.726710425286,6961.0,informed
