origin,target,horizon,pred,actual,variant
2017-09-20,2017-09-27,7,3893.3371209585816,3984.0,off
2017-10-04,2017-10-05,1,4104.0038357972335,4058.0,off
2017-10-04,2017-10-06,2,4280.941602561062,4567.0,off
2017-10-04,2017-10-07,3,4134.709258684938,4170.0,off
2017-10-04,2017-10-08,4,3666.74456412035,3329.0,off
2017-10-04,2017-10-09,5,3415.113694337764,3083.0,off
2017-10-04,2017-10-10,6,3489.7559419344,3156.0,off
2017-10-04,2017-10-11,7,3561.4122587052025,3490.0,off
2017-10-11,2017-10-12,1,3784.408947942615,3910.0,off
2017-10-11,2017-10-13,2,4018.3657116254844,4452.0,off
2017-10-11,2017-10-14,3,4343.022005106436,4671.0,off
2017-10-11,2017-10-15,4,3950.2356546809615,3835.0,off
2017-10-11,2017-10-16,5,3542.4272763967824,4086.0,off
2017-10-11,2017-10-17,6,3739.0879905391985,4105.0,off
2017-10-11,2017-10-18,7,3745.0524301062383,3793.0,off
2017-12-20,2017-12-21,1,4068.62813635674,4043.0,off
2017-12-20,2017-12-22,2,4194.417731487199,3480.0,off
2017-12-20,2017-12-23,3,4513.021438863313,4409.0,off
2017-12-20,2017-12-24,4,4120.276659190635,4625.0,off
2017-12-20,2017-12-25,5,4000.4665210022986,4103.0,off
2017-12-20,2017-12-26,6,4010.3346203696997,3745.0,off
2017-12-20,2017-12-27,7,4012.74719540464,3850.0,off
2017-12-27,2017-12-28,1,4018.781346361192,4052.0,off
2017-12-27,2017-12-29,2,4088.273091283234,4251.0,off
2017-12-27,2017-12-30,3,4652.833098646789,4365.0,off
2017-12-27,2017-12-31,4,4451.996505998035,4582.0,off
2017-12-27,2018-01-01,5,4354.549121528051,4042.0,off
2017-12-27,2018-01-02,6,3807.0521889026977,3592.0,off
2017-12-27,2018-01-03,7,3905.8107586262163,3560.0,off
2018-01-03,2018-01-04,1,3929.981907408126,3829.0,off
2018-01-03,2018-01-05,2,4121.978070017595,4354.0,off
2018-01-03,2018-01-06,3,4589.396758539448,4511.0,off
2018-01-03,2018-01-07,4,4202.395337176761,3923.0,off
2018-01-03,2018-01-08,5,3650.288361270063,3787.0,off
2018-01-03,2018-01-09,6,3756.18102845425,3517.0,off
2018-01-03,2018-01-10,7,3784.5484809780096,3840.0,off
2018-01-17,2018-01-18,1,4020.966413482608,4056.0,off
2018-01-17,2018-01-19,2,4062.353942634765,4252.0,off
2018-01-17,2018-01-20,3,4527.136300305786,4415.0,off
2018-01-17,2018-01-21,4,4040.155446336016,3794.0,off
2018-01-17,2018-01-22,5,3593.8734393305067,3355.0,off
2018-01-17,2018-01-23,6,3600.2443729717147,3655.0,off
2018-01-17,2018-01-24,7,3792.0598659663215,3784.0,off
2018-01-24,2018-01-25,1,3911.4235183598503,3990.0,off
2018-01-24,2018-01-26,2,3990.0910327119395,3806.0,off
2018-01-24,2018-01-27,3,4304.658650125011,4146.0,off
2018-01-24,2018-01-28,4,3907.9603425287905,4080.0,off
2018-01-24,2018-01-29,5,3714.1899034758385,3658.0,off
2018-01-24,2018-01-30,6,3714.1881432699042,3684.0,off
2018-01-24,2018-01-31,7,3771.006589643481,3546.0,off
2018-01-31,2018-02-01,1,3921.1885806994546,3785.0,off
2018-01-31,2018-02-02,2,3816.908391807771,4371.0,off
2018-01-31,2018-02-03,3,4318.738447240681,5036.0,off
2018-01-31,2018-02-04,4,3971.756005156471,4599.0,off
2018-01-31,2018-02-05,5,3583.9214779523863,4530.0,off
2018-01-31,2018-02-06,6,3586.277005072969,4160.0,off
2018-01-31,2018-02-07,7,3865.3883575920395,3991.0,off
2018-02-07,2018-02-08,1,4133.084929938371,4160.0,off
2018-02-07,2018-02-09,2,3929.039227498525,3902.0,off
2018-02-07,2018-02-10,3,4221.10928801742,3900.0,off
2018-02-07,2018-02-11,4,3673.487716747447,3518.0,off
2018-02-07,2018-02-12,5,3209.54814720557,2920.0,off
2018-02-07,2018-02-13,6,2780.054384219051,2692.0,off
2018-02-07,2018-02-14,7,2227.6352622906793,1939.0,off
2018-02-14,2018-02-15,1,2008.6231216878587,1597.0,off
2018-02-14,2018-02-16,2,2868.1935157802664,2422.0,off
2018-02-14,2018-02-17,3,4093.881888883838,3057.0,off
2018-02-14,2018-02-18,4,4638.877811721022,4059.0,off
2018-02-14,2018-02-19,5,4532.759668003484,4275.0,off
2018-02-14,2018-02-20,6,4662.964551223208,4299.0,off
2018-02-14,2018-02-21,7,4268.789660266009,4295.0,off
2018-03-28,2018-03-29,1,3858.6043718203264,4108.0,off
2018-03-28,2018-03-30,2,3990.8152180766483,4368.0,off
2018-03-28,2018-03-31,3,4444.180410984538,4394.0,off
2018-03-28,2018-04-01,4,4208.4393171452,4016.0,off
2018-03-28,2018-04-02,5,3668.4060868309252,3500.0,off
2018-03-28,2018-04-03,6,3807.7784237877936,3138.0,off
2018-03-28,2018-04-04,7,3640.0366176872735,3009.0,off
2018-04-04,2018-04-05,1,3257.0617526858014,3496.0,off
2018-04-04,2018-04-06,2,4133.633511740967,4049.0,off
2018-04-04,2018-04-07,3,4015.264539599325,3947.0,off
2018-04-04,2018-04-08,4,3821.941560198791,3395.0,off
