,feature_value,shap
rolling_mean_28,7474.785714285715,-2.837108599789788
ewma_7,7560.18792432646,2.802457062744361
lag_anchor_182,7079.0,-2.7756126042251505
days_to_next_holiday,22.0,2.627826240483733
dow_sin,0.0,-2.4950165294856665
mainland_is_workday,1.0,-2.4698131192246633
month_cos,0.8660254037844387,2.439003194290342
rolling_mean_3,7649.0,-2.1858372267634847
week_of_month,4.0,2.1468389852511294
lag_anchor_14_per_table,24.336734693877553,-1.9971518622188276
lag_8,7561.0,1.996505732167979
doy_cos,0.901501684131884,1.6712060557767678
lag_anchor_21,6956.0,1.656991224496956
yoy_ratio,0.9881076842655515,-1.63429991541592
month,1.0,-1.520178669223932
lag_28,6611.0,1.5175840230095692
rolling_min_28,6611.0,-1.4938204363629137
CNY_dm1,0.0,0.9802242831276635
woy_sin,0.5680647467311558,0.8578377078574191
day_of_year,26.0,0.839359168487845
is_saturday,0.0,-0.7799123314973639
is_MidAutumn,0.0,0.7190000949613692
MidAutumn_x_recent,0.0,0.5527705915242975
trend_diff_7_28,-14.5,-0.5327238740836737
lag_9,7859.0,0.5226177485635045
is_CNY,0.0,0.44165212906226137
holiday_dow0,0.0,-0.4293439216891605
CNY_dp1,0.0,0.3874561584222943
lag_anchor_28,6611.0,0.3581129452761312
is_Easter,0.0,-0.35782818695461227
trend_7_vs_28,0.9980601450591035,0.3494983779680898
quarter,1.0,0.27592003444927005
Labour_dp0,0.0,-0.2704964650084304
is_sunday,0.0,0.26710129441588454
lag_anchor_7_zscore,0.2052236939806664,0.2182407913252898
Labour_dow3,0.0,-0.20121254755635176
CNY_dp6,0.0,-0.19440735129686806
Labour_x_recent,0.0,-0.1704667409590333
is_month_start,0.0,-0.1566516784633104
Labour_dp1,0.0,-0.11537762974585046
rolling_std_3,149.139755486814,-0.11032944665171854
is_ChingMing,0.0,0.09865697972069144
CNY_dm2,0.0,0.06417639512441116
lag_anchor_7_per_table,25.717687074829932,0.06324973237906326
GoldenWeek_dp1,0.0,-0.0450199391082154
holiday_dow3,0.0,-0.04426057121946451
is_Labour,0.0,-0.040800658132610745
lag_anchor_56,6588.0,0.03671215386842443
GoldenWeek_x_recent,0.0,-0.033747867441778684
CNY_dow5,0.0,0.03349488456814205
ewma_3,7606.682974559687,-0.030972290792752964
is_month_end,0.0,0.019579321040457447
Labour_dow0,0.0,-0.01798349099652497
CNY_dp3,0.0,-0.008350135989123084
is_Christmas,0.0,-0.0013530573274069737
lag_6,,0.0
lag_7,,0.0
MidAutumn_dow2,0.0,0.0
lag_5,,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp0,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp4,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dp8,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dp0,0.0,0.0
CNY_dm3,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dm5,0.0,0.0
CNY_dm6,0.0,0.0
CNY_dm7,0.0,0.0
is_NewYear,0.0,0.0
is_GoldenWeek,0.0,0.0
is_DragonBoat,0.0,0.0
is_weekend,0.0,0.0
DragonBoat_dp1,0.0,0.0
CNY_dow1,0.0,0.0
lag_4,,0.0
CNY_dow2,0.0,0.0
lag_3,,0.0
lag_2,,0.0
mainland_is_first_block_day,0.0,0.0
holiday_dow6,0.0,0.0
holiday_dow5,0.0,0.0
holiday_dow4,0.0,0.0
holiday_dow2,0.0,0.0
holiday_dow1,0.0,0.0
MidAutumn_dow6,0.0,0.0
MidAutumn_dow5,0.0,0.0
MidAutumn_dow4,0.0,0.0
MidAutumn_dow3,0.0,0.0
MidAutumn_dow1,0.0,0.0
MidAutumn_dow0,0.0,0.0
Labour_dow6,0.0,0.0
Labour_dow5,0.0,0.0
Labour_dow4,0.0,0.0
Labour_dow2,0.0,0.0
Labour_dow1,0.0,0.0
GoldenWeek_dow6,0.0,0.0
GoldenWeek_dow5,0.0,0.0
GoldenWeek_dow4,0.0,0.0
GoldenWeek_dow3,0.0,0.0
GoldenWeek_dow2,0.0,0.0
GoldenWeek_dow1,0.0,0.0
GoldenWeek_dow0,0.0,0.0
CNY_dow6,0.0,0.0
CNY_dow4,0.0,0.0
CNY_dow3,0.0,0.0
regime,3.0,0.0
