,feature_value,shap
mainland_block_day_index,0.0,-4.575690893535711
trend_diff_7_28,-213.39285714285688,-3.7145937870577703
dow_cos,-0.22252093395631434,-3.683413779560788
rolling_min_3,6327.0,3.53775953264872
rolling_std_7,389.4171468819963,-2.906453206918652
doy_cos,0.749826401204568,2.673790956667057
month_cos,0.8660254037844384,2.6322553292430695
trend_7_vs_28,0.969903944472148,-2.589650071238872
mainland_is_workday,1.0,-2.4698131192246633
week_of_month,3.0,2.435258683517201
same_dow_vs_overall,0.9734768541604754,-2.3366082846721747
month,11.0,2.3119658621700125
dow_sin,0.9749279121818236,2.3040606188586614
lag_anchor_14,6712.0,2.0083979520812574
ewma_14,6884.690724035438,1.934434206907727
lag_anchor_56,879.0,-1.5544271815018855
lag_anchor_7,6542.0,1.5172320471954004
lag_182,6789.0,1.41387557305043
rolling_std_3,324.85928577702003,1.2083937261945368
is_MidAutumn,0.0,0.9604980025796062
ewma_7,6790.82332252674,0.9051709073892568
CNY_dm1,0.0,0.8874980388232175
is_saturday,0.0,-0.7799123314973639
lag_anchor_182,6789.0,-0.7087062404047816
lag_28,7095.0,-0.6998694826184683
quarter,4.0,-0.5926037130744813
rolling_mean_3,6655.666666666667,-0.5802044365893614
yoy_ratio,0.9978645515558268,-0.540629175132843
MidAutumn_x_recent,0.0,0.535707480276038
rolling_std_14,410.5027343367631,-0.42384224258972486
CNY_dp1,0.0,0.4176480313200886
lag_anchor_14_per_table,23.305555555555557,-0.4160674963607271
is_Easter,0.0,-0.3923689917531744
is_CNY,0.0,0.37693326309535635
lag_9,6327.0,0.3659876494102468
lag_8,6542.0,-0.28706040184879644
Labour_dp0,0.0,-0.2784355942949403
is_sunday,0.0,0.26710129441588454
lag_anchor_7_per_table,22.71527777777778,-0.211259900779247
Labour_dow3,0.0,-0.208532620752292
is_month_start,0.0,-0.2013695973660639
CNY_dp6,0.0,-0.19933653363097553
lag_anchor_28,7095.0,0.19626327685509093
rolling_max_3,7098.0,-0.1830064611222243
holiday_dow0,0.0,-0.16353864253448847
Labour_dp1,0.0,-0.12495579213869158
Labour_x_recent,0.0,-0.11596900280872675
is_ChingMing,0.0,0.09913107622144698
CNY_dm2,0.0,0.08022123948609121
ewma_3,6645.502935420744,-0.04611477836464056
holiday_dow3,0.0,-0.04426057121946451
GoldenWeek_dp1,0.0,-0.040551745002817836
CNY_dow5,0.0,0.035297743312994165
GoldenWeek_x_recent,0.0,-0.034904560307636556
is_Labour,0.0,-0.03444237262140634
is_month_end,0.0,0.019579321040457447
Labour_dow0,0.0,-0.01798349099652497
CNY_dp3,0.0,-0.01688170151831657
is_Christmas,0.0,-0.0048394961804073
lag_6,,0.0
lag_7,,0.0
MidAutumn_dow2,0.0,0.0
lag_5,,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp0,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp4,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dp8,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dp0,0.0,0.0
CNY_dm3,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dm5,0.0,0.0
CNY_dm6,0.0,0.0
CNY_dm7,0.0,0.0
is_NewYear,0.0,0.0
is_GoldenWeek,0.0,0.0
is_DragonBoat,0.0,0.0
is_weekend,0.0,0.0
DragonBoat_dp1,0.0,0.0
CNY_dow1,0.0,0.0
lag_4,,0.0
CNY_dow2,0.0,0.0
lag_3,,0.0
lag_2,,0.0
mainland_is_first_block_day,0.0,0.0
holiday_dow6,0.0,0.0
holiday_dow5,0.0,0.0
holiday_dow4,0.0,0.0
holiday_dow2,0.0,0.0
holiday_dow1,0.0,0.0
MidAutumn_dow6,0.0,0.0
MidAutumn_dow5,0.0,0.0
MidAutumn_dow4,0.0,0.0
MidAutumn_dow3,0.0,0.0
MidAutumn_dow1,0.0,0.0
MidAutumn_dow0,0.0,0.0
Labour_dow6,0.0,0.0
Labour_dow5,0.0,0.0
Labour_dow4,0.0,0.0
Labour_dow2,0.0,0.0
Labour_dow1,0.0,0.0
GoldenWeek_dow6,0.0,0.0
GoldenWeek_dow5,0.0,0.0
GoldenWeek_dow4,0.0,0.0
GoldenWeek_dow3,0.0,0.0
GoldenWeek_dow2,0.0,0.0
GoldenWeek_dow1,0.0,0.0
GoldenWeek_dow0,0.0,0.0
CNY_dow6,0.0,0.0
CNY_dow4,0.0,0.0
CNY_dow3,0.0,0.0
regime,3.0,0.0
