,feature_value,shap
dow_sin,0.43388373911755823,-1.9279048650896
lag_728,4570.0,-1.9097750794295494
week_of_month,5.0,-1.8780249348003097
lag_anchor_14_per_table,24.829931972789115,-1.8638073913626927
rolling_std_7,286.128699457187,-1.7205912904979201
lag_anchor_7_zscore,0.17415813702523156,1.4871732114280336
dow,3.0,-1.301031564331572
days_to_next_holiday,19.0,1.290268227451107
woy_sin,0.5680647467311558,1.2348925086540095
CNY_dm1,0.0,0.9553420441224186
lag_anchor_182,6907.0,-0.8999788713076576
is_MidAutumn,0.0,0.8535113351622724
is_saturday,0.0,-0.7799123314973639
rolling_std_3,261.3482138620597,0.552805644758443
is_CNY,0.0,0.46365795220767825
month,1.0,-0.404419908314603
CNY_dp1,0.0,0.4025363534357159
is_Easter,0.0,-0.3877794320140851
yoy_anchor_diff,2185.0,0.38694816829927764
MidAutumn_x_recent,0.0,0.3286753430529256
lag_182,6907.0,-0.3204503000444147
rolling_max_3,7520.0,-0.30582626755688147
Labour_dp0,0.0,-0.27727776690174194
quarter,1.0,0.27592003444927005
trend_7_vs_28,0.9954145162218683,0.2739744962486103
is_sunday,0.0,0.26710129441588454
Labour_dow3,0.0,-0.20610413677441405
CNY_dp6,0.0,-0.1968126595792801
is_month_start,0.0,-0.1901366388684651
lag_9,7234.0,0.1732955760004236
Labour_x_recent,0.0,-0.1704667409590333
is_month_end,1.0,-0.16086793503510982
rolling_mean_3,7211.666666666667,-0.13674976194837327
Labour_dp1,0.0,-0.12135344852300091
lag_anchor_28,8575.0,0.11952615650958269
is_ChingMing,0.0,0.11667815644875663
holiday_dow0,0.0,-0.10156250257303617
CNY_dm2,0.0,0.06599195318979159
GoldenWeek_dp1,0.0,-0.04434778275848556
holiday_dow3,0.0,-0.04426057121946451
ewma_3,7379.342465753424,-0.04157223196460117
is_Labour,0.0,-0.040800658132610745
GoldenWeek_x_recent,0.0,-0.03432089975734117
CNY_dow5,0.0,0.03349488456814205
Labour_dow0,0.0,-0.01798349099652497
CNY_dp3,0.0,-0.008350135989123084
is_Christmas,0.0,-0.0013530573274069737
lag_6,,0.0
lag_7,,0.0
MidAutumn_dow2,0.0,0.0
lag_5,,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp0,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp4,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dp8,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dp0,0.0,0.0
CNY_dm3,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dm5,0.0,0.0
