,feature_value,shap
month_cos,0.8660254037844387,1.5416160940088504
is_MidAutumn,0.0,1.1011816852441976
lag_28,6611.0,1.0342620935389657
CNY_dm1,0.0,0.9248342177031795
quarter,1.0,-0.8838946393924991
lag_56,6588.0,0.8623698330926167
trend_7_vs_28,0.9980601450591035,-0.8442681727562499
holiday_dow0,0.0,-0.689898004641242
yoy_ratio,0.9881076842655515,0.6857193220099561
is_Easter,0.0,-0.6029084052401311
lag_anchor_14_per_table,24.336734693877553,0.587829706727655
rolling_mean_3,7649.0,-0.48756331691610166
lag_anchor_7_per_table,25.717687074829932,-0.42381852445136425
is_CNY,0.0,0.41010699427321723
CNY_dp6,0.0,-0.40924694114878
MidAutumn_x_recent,0.0,0.3320257496324699
CNY_dp1,0.0,0.3037950136829281
CNY_dm2,0.0,0.28136347171643
lag_anchor_28,6611.0,0.24899088946658252
rolling_std_3,149.139755486814,0.21002218994994745
Labour_dow3,0.0,-0.19686191753015836
is_month_end,0.0,0.18371118598559
holiday_dow3,0.0,-0.1811700268244059
Labour_dp1,0.0,-0.1757925106394635
Labour_x_recent,0.0,-0.14068623653737022
is_Labour,0.0,-0.11637024359128517
GoldenWeek_dp1,0.0,-0.09047507690011225
Labour_dp0,0.0,-0.08505858876741991
is_saturday,0.0,0.0636814875387193
regime,3.0,-0.05521294087510751
CNY_dow5,0.0,0.04471335371546996
GoldenWeek_x_recent,0.0,0.041937214463080345
CNY_dp3,0.0,-0.024237523285248752
is_month_start,0.0,0.02382996999246414
ewma_3,7606.682974559687,-0.018118076581338426
mainland_is_workday,1.0,0.017682382005260087
GoldenWeek_dp6,0.0,0.015350509977792458
Labour_dp4,0.0,0.006109345880808859
holiday_dow5,0.0,0.003964607009820712
holiday_dow4,0.0,0.000996295856028736
is_ChingMing,0.0,0.0
CNY_dp9,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
is_weekend,0.0,0.0
is_sunday,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
is_DragonBoat,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp8,0.0,0.0
is_GoldenWeek,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
DragonBoat_dp0,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dp0,0.0,0.0
CNY_dm3,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dm5,0.0,0.0
CNY_dm6,0.0,0.0
CNY_dm7,0.0,0.0
is_Christmas,0.0,0.0
is_NewYear,0.0,0.0
DragonBoat_dm1,0.0,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp1,0.0,0.0
holiday_dow6,0.0,0.0
MidAutumn_dow0,0.0,0.0
MidAutumn_dow1,0.0,0.0
MidAutumn_dow3,0.0,0.0
MidAutumn_dow4,0.0,0.0
MidAutumn_dow5,0.0,0.0
lag_7,,0.0
lag_6,,0.0
lag_5,,0.0
lag_4,,0.0
lag_3,,0.0
lag_2,,0.0
MidAutumn_dow6,0.0,0.0
holiday_dow1,0.0,0.0
mainland_is_first_block_day,0.0,0.0
holiday_dow2,0.0,0.0
Labour_dow6,0.0,0.0
Labour_dow5,0.0,0.0
Labour_dow4,0.0,0.0
GoldenWeek_dow1,0.0,0.0
CNY_dow1,0.0,0.0
CNY_dow2,0.0,0.0
CNY_dow3,0.0,0.0
CNY_dow4,0.0,0.0
CNY_dow6,0.0,0.0
GoldenWeek_dow0,0.0,0.0
GoldenWeek_dow2,0.0,0.0
Labour_dow2,0.0,0.0
GoldenWeek_dow3,0.0,0.0
GoldenWeek_dow4,0.0,0.0
GoldenWeek_dow5,0.0,0.0
GoldenWeek_dow6,0.0,0.0
Labour_dow0,0.0,0.0
Labour_dow1,0.0,0.0
MidAutumn_dow2,0.0,0.0
