,feature_value,shap
rolling_std_7,286.128699457187,-0.44343253551259815
is_CNY,0.0,0.40976938409568064
MidAutumn_x_recent,0.0,0.38373906759345566
CNY_dp1,0.0,0.3775132289233374
CNY_dm2,0.0,0.32556347866706453
lag_28,8575.0,-0.31958135973500584
Labour_dow3,0.0,-0.3090998666168042
month,1.0,0.3029603387428798
CNY_dp6,0.0,-0.30290070664828833
ewma_3,7379.342465753424,-0.27187149748615175
lag_10,6881.0,0.23914686434616983
lag_anchor_7,7520.0,0.22559406527019463
rolling_mean_3,7211.666666666667,-0.19157553317200665
Labour_dp1,0.0,-0.18120015624850022
Labour_x_recent,0.0,-0.15249905714242384
lag_anchor_182,6907.0,0.14726609001688673
GoldenWeek_dp1,0.0,-0.14556995348993435
is_GoldenWeek,0.0,-0.11637504512180787
holiday_dow3,0.0,-0.1082548655542093
Labour_dp0,0.0,-0.10500097467267017
mainland_is_first_block_day,0.0,-0.07172964590714721
is_month_start,0.0,-0.0503675179241537
GoldenWeek_x_recent,0.0,0.044876103932019656
Labour_dp4,0.0,0.03992609664991254
CNY_dow5,0.0,0.02069285723517575
CNY_dp3,0.0,-0.019500181541654005
quarter,1.0,0.014878235686384921
is_Labour,0.0,-0.013418673999866664
CNY_dp0,0.0,0.009825014981112315
is_weekend,0.0,0.0036193240933585376
holiday_dow4,0.0,-0.002332837711629824
lag_anchor_28,8575.0,0.0011847971737826979
holiday_dow0,0.0,0.0003542116528987408
is_NewYear,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
is_saturday,0.0,0.0
is_sunday,0.0,0.0
is_month_end,1.0,0.0
is_DragonBoat,0.0,0.0
is_ChingMing,0.0,0.0
is_Christmas,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dp8,0.0,0.0
CNY_dm7,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dm6,0.0,0.0
CNY_dm5,0.0,0.0
CNY_dm3,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp2,0.0,0.0
Labour_dow4,0.0,0.0
MidAutumn_dow6,0.0,0.0
MidAutumn_dow5,0.0,0.0
MidAutumn_dow4,0.0,0.0
MidAutumn_dow3,0.0,0.0
CNY_dow4,0.0,0.0
MidAutumn_dow1,0.0,0.0
MidAutumn_dow0,0.0,0.0
Labour_dow6,0.0,0.0
Labour_dow5,0.0,0.0
Labour_dow2,0.0,0.0
GoldenWeek_dp3,0.0,0.0
Labour_dow1,0.0,0.0
Labour_dow0,0.0,0.0
GoldenWeek_dow6,0.0,0.0
GoldenWeek_dow5,0.0,0.0
GoldenWeek_dow4,0.0,0.0
GoldenWeek_dow3,0.0,0.0
GoldenWeek_dow2,0.0,0.0
GoldenWeek_dow1,0.0,0.0
GoldenWeek_dow0,0.0,0.0
holiday_dow1,0.0,0.0
holiday_dow2,0.0,0.0
holiday_dow5,0.0,0.0
holiday_dow6,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp5,0.0,0.0
CNY_dow6,0.0,0.0
Labour_dp2,0.0,0.0
Labour_dp3,0.0,0.0
DragonBoat_dm2,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dp0,0.0,0.0
lag_7,,0.0
lag_6,,0.0
lag_5,,0.0
lag_4,,0.0
lag_3,,0.0
lag_2,,0.0
DragonBoat_dp1,0.0,0.0
CNY_dow0,0.0,0.0
CNY_dow1,0.0,0.0
CNY_dow2,0.0,0.0
CNY_dow3,0.0,0.0
MidAutumn_dow2,0.0,0.0
