target_date,horizon,y,lag_365,is_hol,lgbm_l2,lgbm_q,xgb,cat,lgbm_bag,v3_2stage,dow,ridge,enet,xtrees,rf
2025-10-03,17,8428.0,7787.0,1,7660.276688757443,7634.767696866274,7637.8306,7630.323323428855,7864.478252467299,7721.395490734661,4,7725.765850250828,7957.485634148472,7813.150192562567,7611.350424916231
2025-10-04,17,7964.0,7679.0,1,7931.3805100701775,7761.740704372783,7878.3203,7818.018336374983,8104.120394964867,7937.283871182401,5,7682.272293023687,7928.658391289032,8000.124307303671,7749.335474524201
2025-10-05,17,7425.0,7612.0,1,7389.7300768903215,7250.170603062813,7397.181,7168.033322893717,7627.619128319492,7410.10426551322,6,6110.688689763226,6641.076518487382,7167.09872477269,6959.385490360097
2025-10-06,17,6625.0,7318.0,1,6897.480894190278,6744.331475068546,6885.791,6946.513838703621,6918.194854868124,6942.940164028657,0,6026.515219046807,6022.162424190916,5344.738204660375,6149.055716801298
2025-10-07,17,6786.0,5565.0,1,6922.147273768812,7052.607375911969,7282.7456,7056.512638485489,7216.729688170431,6946.058703445548,1,4155.0350657805975,5354.876130173072,5428.13779264598,6795.59300133681
2025-10-08,17,6012.0,5113.0,0,6938.896259388744,7023.022372390455,6881.5923,6975.224192351363,7207.840008025295,6938.896259388744,2,6259.77420990702,7344.247180615532,7144.911730809188,7233.96450575605
2025-10-09,17,6156.0,5458.0,0,6910.17837680628,6904.958440311047,6898.9062,6561.40946901934,7023.887811263919,6910.17837680628,3,6558.617082146109,6935.46264941451,6799.123711352329,6929.579854615113
2025-10-10,17,6655.0,5671.0,0,7144.889224347656,7265.925415927889,7247.632,6962.753913328616,7192.012215159727,7144.889224347656,4,6835.45256161573,7103.143439276829,7077.9644740164,7147.641696680789
2025-10-11,17,7427.0,6528.0,0,7453.806017569694,7607.366396301058,7381.456,7230.465077195948,7464.265764189205,7453.806017569694,5,7421.946423000991,7741.064908545798,7450.158142069559,7337.12931737065
2025-10-12,17,7363.0,7325.0,0,6955.579332754809,7001.757753947301,6931.9336,7081.764184250613,6975.628841743376,6955.579332754809,6,7685.864735621051,7624.050007015999,7039.948915870606,7098.233172658699
2025-10-13,17,7299.0,6537.0,0,6426.051549509301,6631.082682148848,6505.3965,6363.38869592523,6395.065553955107,6426.051549509301,0,7273.034264660272,7386.869597102785,6713.510727636265,6543.41388078423
2025-10-14,17,7279.0,6507.0,0,6495.323178849551,6512.312173965158,6449.2114,6439.154527786297,6455.722371676763,6495.323178849551,1,6548.13448341253,6974.858242376587,6674.806981233298,6461.469578000737
2025-10-15,17,7258.0,6750.0,0,6689.731875379996,6543.958971331975,6681.973,6633.638967191493,6694.990808471607,6689.731875379996,2,6568.801314890963,6974.893045603098,6802.971632666904,6737.098249277624
2025-10-16,17,7640.0,6822.0,0,6791.102728249756,6825.842424268507,6722.253,6763.593436266354,6752.161634834846,6791.102728249756,3,7398.047895803489,7609.319359240499,6862.657610589826,6903.463078275902
